model,trainer,config,epsilon,seed,valid_rate,mean_l0_valid,std_l0_valid,mean_l1_valid,std_l1_valid,mean_l2_valid,std_l2_valid
lin,AF,LIN-AF,0.1,0,1.0,0.5,0.5,0.5016509150722545,0.6355286101893015,0.5016509150722545,0.6355286101893015
lin,ERM,LIN-ERM,0.1,0,1.0,0.5,0.5,0.4356022358201116,0.5010741804045753,0.4356022358201116,0.5010741804045753
mlp,AF,MLP-AF,0.1,0,0.8,0.625,0.6959705453537527,0.4191463515162468,0.5708309930674025,0.3558394587242242,0.4332790555265336
mlp,ERM,MLP-ERM,0.1,0,0.5,0.6,0.8,0.06774903079494832,0.10126549888492282,0.06736388982927044,0.100530171516392
