dataset,model,trainer,seed,epsilon,instance_id,valid,cost
health,lin,ERM,2,0.2,5,True,1.091511523174335
health,lin,ERM,2,0.2,6,True,0.7808248713852672
health,lin,ERM,2,0.2,7,True,0.8994815556123235
health,lin,ERM,2,0.2,8,True,0.45180607508809995
health,lin,ERM,2,0.2,9,True,2.592063827877687
health,mlp,ERM,0,0.0,0,True,0.09999999403953552
health,mlp,ERM,0,0.0,1,True,1.1588484048843384
health,mlp,ERM,0,0.0,2,False,inf
health,mlp,ERM,0,0.0,3,False,inf
health,mlp,ERM,0,0.0,4,True,0.09999999403953552
health,mlp,ERM,0,0.0,5,False,inf
health,mlp,ERM,0,0.0,6,True,1.7681208848953247
health,mlp,ERM,0,0.0,7,True,0.1756606101989746
health,mlp,ERM,0,0.0,8,True,0.09999999403953552
health,mlp,ERM,0,0.0,9,True,1.099407434463501
health,mlp,ERM,0,0.1,0,True,0.2847887873649597
health,mlp,ERM,0,0.1,1,True,1.350301742553711
health,mlp,ERM,0,0.1,2,False,inf
health,mlp,ERM,0,0.1,3,False,inf
health,mlp,ERM,0,0.1,4,True,0.17709362506866455
health,mlp,ERM,0,0.1,5,True,1.4368488788604736
health,mlp,ERM,0,0.1,6,True,1.783553123474121
health,mlp,ERM,0,0.1,7,True,0.3221847414970398
health,mlp,ERM,0,0.1,8,True,0.14391285181045532
health,mlp,ERM,0,0.1,9,True,1.2745985984802246
health,mlp,ERM,0,0.2,0,True,0.2927534878253937
health,mlp,ERM,0,0.2,1,True,1.420407772064209
health,mlp,ERM,0,0.2,2,False,inf
health,mlp,ERM,0,0.2,3,True,1.6530849933624268
health,mlp,ERM,0,0.2,4,True,0.37585678696632385
health,mlp,ERM,0,0.2,5,True,1.0841124057769775
health,mlp,ERM,0,0.2,6,True,2.038994312286377
health,mlp,ERM,0,0.2,7,True,0.4549943208694458
health,mlp,ERM,0,0.2,8,True,0.09999996423721313
health,mlp,ERM,0,0.2,9,True,0.543687105178833
health,mlp,ERM,1,0.0,0,True,0.6265113949775696
health,mlp,ERM,1,0.0,1,True,0.5598059892654419
health,mlp,ERM,1,0.0,2,True,4.995126724243164
health,mlp,ERM,1,0.0,3,True,0.8848893046379089
health,mlp,ERM,1,0.0,4,True,0.9069631099700928
health,mlp,ERM,1,0.0,5,True,6.042341232299805
health,mlp,ERM,1,0.0,6,True,0.9130632877349854
health,mlp,ERM,1,0.0,7,True,0.42502132058143616
health,mlp,ERM,1,0.0,8,True,0.09999999403953552
health,mlp,ERM,1,0.0,9,True,0.3435572385787964
health,mlp,ERM,1,0.1,0,True,0.7597363591194153
health,mlp,ERM,1,0.1,1,True,0.7501630187034607
health,mlp,ERM,1,0.1,2,True,4.815957069396973
health,mlp,ERM,1,0.1,3,True,1.1189303398132324
health,mlp,ERM,1,0.1,4,True,0.8854197263717651
health,mlp,ERM,1,0.1,5,True,6.365862846374512
health,mlp,ERM,1,0.1,6,True,0.8871881365776062
health,mlp,ERM,1,0.1,7,True,0.5466513633728027
health,mlp,ERM,1,0.1,8,True,0.09999998658895493
health,mlp,ERM,1,0.1,9,True,0.35792168974876404
health,mlp,ERM,1,0.2,0,True,0.8752454519271851
health,mlp,ERM,1,0.2,1,True,0.7518577575683594
health,mlp,ERM,1,0.2,2,True,4.760556697845459
health,mlp,ERM,1,0.2,3,True,1.0518792867660522
health,mlp,ERM,1,0.2,4,True,0.9736133813858032
health,mlp,ERM,1,0.2,5,True,2.644326686859131
health,mlp,ERM,1,0.2,6,True,0.7649006843566895
health,mlp,ERM,1,0.2,7,True,0.6719211935997009
health,mlp,ERM,1,0.2,8,True,0.09999998658895493
health,mlp,ERM,1,0.2,9,True,0.40259477496147156
health,mlp,ERM,2,0.0,0,True,1.6526018381118774
health,mlp,ERM,2,0.0,1,True,1.0587971210479736
health,mlp,ERM,2,0.0,2,True,0.871553897857666
health,mlp,ERM,2,0.0,3,True,1.5454106330871582
health,mlp,ERM,2,0.0,4,True,0.09999999403953552
health,mlp,ERM,2,0.0,5,True,4.139216899871826
health,mlp,ERM,2,0.0,6,True,1.2884514331817627
health,mlp,ERM,2,0.0,7,True,1.023694634437561
health,mlp,ERM,2,0.0,8,True,0.09999997913837433
health,mlp,ERM,2,0.0,9,False,inf
health,mlp,ERM,2,0.1,0,True,2.3038556575775146
health,mlp,ERM,2,0.1,1,True,0.48094290494918823
health,mlp,ERM,2,0.1,2,True,0.9778098464012146
health,mlp,ERM,2,0.1,3,True,1.8084425926208496
health,mlp,ERM,2,0.1,4,True,0.19984257221221924
health,mlp,ERM,2,0.1,5,True,4.787795066833496
health,mlp,ERM,2,0.1,6,True,1.3899121284484863
health,mlp,ERM,2,0.1,7,True,1.2289860248565674
health,mlp,ERM,2,0.1,8,True,0.291856586933136
health,mlp,ERM,2,0.1,9,False,inf
health,mlp,ERM,2,0.2,0,False,inf
health,mlp,ERM,2,0.2,1,True,0.4565989375114441
health,mlp,ERM,2,0.2,2,True,1.0854618549346924
health,mlp,ERM,2,0.2,3,True,1.8083579540252686
health,mlp,ERM,2,0.2,4,False,inf
health,mlp,ERM,2,0.2,5,True,1.6818499565124512
health,mlp,ERM,2,0.2,6,True,1.5481600761413574
health,mlp,ERM,2,0.2,7,True,1.1980092525482178
health,mlp,ERM,2,0.2,8,True,0.37811192870140076
health,mlp,ERM,2,0.2,9,True,1.961012840270996
